,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,plus_mins,expected_plus_mins,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO_pct,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G,Is_Offense,Salary_log
178,0.875,94-11-09,Salem,MA,USA,USA,76,203,2013.0,2.0,61.0,L,Sanford,Zach,LW,STL/WSH,39,4,4,1,3,8,2,-1.8,10,601,25370,422.79,10.85,10.84,20.8,61.5,7.1,0.952,1023.0,1.84,1.42,56.5,3,0.43,73.0,73,53.0,36.0,36,36,4.77,18.0,7.0,6.0,13.0,26.6,49.61,23.8,22,22.0,48.0,-26.0,17,14,14,20,14.0,14.0,20.0,5.2,17,22,17.0,22.0,43.6,10.9,3,5,4,4,10,13,0,6,8,5,14,18,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,17,5,0,1,8,3,0,19,5,6,5.0,6.0,1,2.2,5,0,0,0,0,341.0,387.0,254.0,288.0,183.0,208.0,15.6,14.74,52.0,45.0,13.0,10.0,17.0,9.0,15.0,19.0,32,28,163.0,196.0,165.0,190.0,59.0,48.0,26.0,27.0,0.1,0.5,0.7,1607.84,52,7.2,103.3,6.7,,1,-0.13353139262452263
179,0.625,93-01-04,Wallaceburg,ON,CAN,CAN,69,191,2012.0,5.0,131.0,R,Griffith,Seth,C/RW,FLA/TOR,24,0,5,4,1,5,6,-0.4,8,421,18337,305.5,12.73,12.73,24.8,35.7,7.7,0.973,1049.0,2.75,0.79,77.8,10,1.96,50.0,50,40.0,21.0,21,21,3.2,13.0,4.0,1.0,5.0,28.5,28.5,93.1,30,30.0,22.0,8.0,19,6,5,5,6.0,5.0,5.0,2.1,2,6,2.0,6.0,25.0,2.8,0,0,1,0,1,6,0,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,2,3,0,14,4,4,4.0,2.0,0,-1.6,4,0,0,0,0,325.0,236.0,257.0,192.0,183.0,148.0,16.7,11.3,62.0,41.0,14.0,4.0,18.0,6.0,8.0,8.0,26,14,134.0,152.0,120.0,99.0,40.0,38.0,28.0,15.0,-0.3,0.6,0.3,924.86,43,8.8,110.2,7.7,0.32,1,-0.4700036292457356
180,0.575,95-02-03,Moscow,,RUS,RUS,68,170,,,,L,Tolchinsky,Sergey,LW,CAR,2,0,1,1,0,1,0,-0.2,0,29,1377,23.0,11.48,11.48,21.1,100.0,5.6,0.941,997.0,2.61,2.61,50.0,0,0.0,3.0,3,2.0,2.0,2,2,0.1,0.0,0.0,0.0,0.0,32.5,32.5,29.0,0,0.0,5.0,-5.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,29.0,28.0,25.0,24.0,18.0,17.0,1.3,1.5,5.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,1,3,11.0,11.0,6.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.1,85.66,0,0.0,148.9,0.9,0.45,1,-0.5533852381847867
181,0.625,88-09-24,Ann Arbor,MI,USA,USA,71,192,2007.0,4.0,93.0,R,Kampfer,Steven,D,FLA/NYR,11,1,1,1,0,2,-2,-2.4,6,215,8750,145.3,13.25,13.24,25.9,50.0,5.2,0.927,979.0,1.65,2.48,40.0,-2,-0.83,23.0,23,15.0,10.0,10,10,0.3,0.0,0.0,0.0,0.0,61.4,56.0,32.1,24,24.0,21.0,3.0,5,3,2,10,3.0,2.0,10.0,8.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,4,2,0,0,4,3,4,3.0,4.0,1,1.7,3,0,0,0,0,132.0,121.0,104.0,104.0,77.0,82.0,5.1,6.4,15.0,24.0,4.0,6.0,4.0,5.0,5.0,3.0,9,8,83.0,66.0,80.0,66.0,17.0,19.0,11.0,16.0,0.1,0.1,0.2,415.27,40,8.7,104.4,3.0,0.27,0,-0.4700036292457356
182,4.0,86-06-14,Ilderton,ON,CAN,CAN,70,185,,,,R,Read,Matt,RW/LW,PHI,63,10,9,7,2,19,3,0.6,8,1219,52146,866.1,13.8,13.78,25.1,67.9,6.8,0.93,998.0,1.94,1.8,51.9,2,0.14,161.0,161,124.0,92.0,92,92,9.0,36.0,5.0,11.0,16.0,30.6,26.5,263.4,95,95.0,125.0,-30.0,32,18,21,32,18.0,21.0,32.0,4.3,5,10,5.0,10.0,33.3,2.1,0,0,1,2,4,8,1,1,2,2,3,7,0,1,2,0,0,0,1,1,1,0,1,0,6,1,0,6,25,8,2,6,22,9,0,45,4,5,4.0,4.0,1,2.4,4,0,0,0,0,846.0,747.0,600.0,514.0,412.0,372.0,33.1,33.1,101.0,120.0,28.0,26.0,25.0,38.0,54.0,42.0,79,80,386.0,344.0,421.0,452.0,114.0,82.0,36.0,44.0,0.8,1.2,2.0,2587.55,135,29.0,110.4,29.0,0.46,1,1.3862943611198906
183,2.5,91-10-15,Warroad,MN,USA,USA,75,206,2010.0,1.0,30.0,L,Nelson,Brock,C/LW,NYI,81,20,25,14,11,45,-6,-7.7,36,1730,76050,1267.8,15.65,15.65,26.8,71.4,10.2,0.906,1008.0,2.98,2.84,51.2,3,0.14,305.0,305,215.0,173.0,173,173,17.1,65.0,10.0,22.0,32.0,26.6,24.2,239.7,50,50.0,80.0,-30.0,42,43,43,48,43.0,43.0,48.0,3.9,346,445,346.0,445.0,43.7,70.5,136,164,124,154,86,127,92,133,136,171,217,263,1,5,4,0,0,0,1,2,0,4,0,0,13,0,2,6,34,8,3,8,23,9,6,116,17,26,18.0,20.0,9,3.8,17,0,0,0,0,1156.0,1216.0,841.0,876.0,615.0,635.0,57.7,55.5,201.0,189.0,63.0,60.0,44.0,31.0,59.0,54.0,103,85,510.0,612.0,444.0,463.0,210.0,139.0,74.0,75.0,3.8,0.9,4.7,3458.78,134,5.5,112.3,36.2,0.45,1,0.9162907318741551
184,0.675,89-04-28,Grand Rapids,MI,USA,USA,71,199,,,,R,Glendening,Luke,C/RW/LW,DET,74,3,11,9,2,14,-10,-3.0,26,1459,57343,953.6,12.92,12.91,23.3,73.7,5.7,0.913,970.0,1.2,2.96,28.8,-28,-1.76,123.0,123,108.0,77.0,76,76,8.6,31.0,3.0,7.0,10.0,29.1,23.3,225.2,150,149.0,131.0,18.0,31,12,19,62,12.0,19.0,62.0,5.8,307,261,307.0,258.0,54.0,54.5,182,158,70,58,55,45,92,78,103,87,190,172,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,2,28,13,1,3,9,8,0,42,13,9,12.0,8.0,-4,-1.1,13,0,0,0,0,599.0,1067.0,468.0,784.0,331.0,539.0,26.2,52.7,86.0,177.0,19.0,47.0,16.0,38.0,28.0,33.0,44,71,549.0,487.0,412.0,400.0,96.0,74.0,42.0,49.0,-0.8,0.8,0.0,3130.73,238,13.0,104.8,8.3,0.11,1,-0.3930425881096072
185,0.9,92-02-08,Stockholm,,SWE,SWE,75,215,2010.0,2.0,41.0,L,Nemeth,Patrik,D,DAL,40,0,3,2,1,3,-4,2.5,14,839,37869,630.2,15.78,15.77,29.0,15.8,6.1,0.911,972.0,1.81,2.86,38.8,-11,-1.05,91.0,91,61.0,46.0,46,46,2.5,5.0,3.0,3.0,6.0,42.1,38.0,61.1,45,45.0,51.0,-6.0,15,18,10,47,18.0,10.0,47.0,7.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,11,7,0,0,24,7,4,7.0,4.0,-3,-1.1,7,0,0,0,0,567.0,640.0,425.0,466.0,311.0,336.0,26.1,29.7,82.0,99.0,19.0,30.0,24.0,21.0,23.0,23.0,47,44,300.0,314.0,208.0,216.0,90.0,80.0,35.0,41.0,-0.5,0.8,0.3,1541.11,106,7.9,114.9,6.6,0.16,0,-0.10536051565782628
186,1.05,91-04-24,Sundsvall,,SWE,SWE,72,184,2009.0,2.0,40.0,L,Lander,Anton,C/LW/RW,EDM,22,1,3,1,2,4,2,-0.4,6,351,12902,214.9,9.77,9.77,17.4,44.4,10.1,0.9,1001.0,2.51,3.07,45.0,-2,-0.56,21.0,21,17.0,12.0,12,12,0.9,3.0,2.0,2.0,4.0,34.0,32.1,18.5,28,28.0,13.0,15.0,5,4,8,7,4.0,8.0,7.0,3.3,79,62,79.0,62.0,56.0,56.6,49,44,15,8,15,10,22,20,21,17,52,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,1,3,1,0,6,3,0,2.0,0.0,-3,-2.0,3,0,0,0,0,139.0,211.0,108.0,157.0,89.0,110.0,6.7,11.6,27.0,41.0,9.0,11.0,5.0,10.0,13.0,7.0,18,17,131.0,118.0,138.0,81.0,25.0,19.0,10.0,4.0,0.0,0.3,0.3,1020.35,41,12.0,97.7,4.0,0.18,1,0.04879016416943205
187,1.1,92-01-30,Ottawa,ON,CAN,CAN,70,184,2010.0,2.0,45.0,L,Spooner,Ryan,C/LW,BOS,78,12,28,14,14,39,-8,1.0,14,1440,65964,1096.5,14.07,14.07,25.2,60.0,9.3,0.903,996.0,3.56,2.3,60.7,23,1.26,222.0,224,180.0,145.0,145,146,12.9,47.0,6.0,9.0,15.0,32.3,28.5,236.4,24,24.0,71.0,-47.0,36,50,36,17,50.0,36.0,17.0,2.1,79,124,79.0,122.0,38.9,19.4,8,11,41,61,30,51,23,31,28,44,45,67,1,3,3,1,0,0,0,1,2,3,1,0,5,0,1,3,32,15,2,13,37,4,1,74,7,5,7.0,4.0,-2,-0.4,7,0,0,0,0,1277.0,804.0,960.0,583.0,700.0,433.0,60.7,34.3,199.0,109.0,65.0,42.0,42.0,24.0,47.0,40.0,89,64,495.0,542.0,369.0,454.0,178.0,110.0,77.0,65.0,2.6,1.1,3.7,3246.34,55,8.6,113.9,44.0,0.56,1,0.09531017980432493
188,0.925,96-08-17,New Westminster,BC,CAN,CAN,73,229,2014.0,1.0,6.0,R,Virtanen,Jake,RW,VAN,10,0,1,0,1,1,1,-0.8,2,157,6087,101.4,10.15,10.14,20.0,100.0,3.1,1.0,1031.0,0.59,0.0,100.0,1,0.59,25.0,25,17.0,13.0,13,13,0.7,1.0,0.0,0.0,0.0,32.5,32.5,0.0,17,17.0,9.0,8.0,4,0,4,4,0.0,4.0,4.0,4.4,3,0,3.0,0.0,100.0,2.6,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,12,1,1,1.0,0.0,0,-1.0,1,0,0,0,0,74.0,90.0,50.0,67.0,32.0,44.0,2.6,4.6,7.0,15.0,1.0,0.0,1.0,4.0,0.0,4.0,1,8,50.0,66.0,50.0,53.0,8.0,8.0,5.0,4.0,-0.2,0.2,0.0,404.88,23,21.0,97.1,0.9,0.09,1,-0.0779615414697118
189,0.65,92-05-01,De Pere,WI,USA,USA,71,188,2011.0,6.0,171.0,L,McCormick,Max,RW/LW/C,OTT,7,0,0,0,0,0,-3,-1.1,0,72,2839,47.3,6.77,6.76,13.6,0.0,0.0,0.906,906.0,0.0,3.8,0.0,-3,-3.8,14.0,14,9.0,7.0,7,7,0.5,2.0,2.0,0.0,2.0,30.0,28.3,0.0,13,13.0,4.0,9.0,2,0,2,1,0.0,2.0,1.0,1.6,15,9,15.0,9.0,62.5,47.1,4,2,6,2,5,5,7,4,5,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,3,0,1,0.0,0.0,1,0.0,0,0,0,0,0,50.0,63.0,27.0,44.0,20.0,32.0,1.2,2.5,3.0,8.0,0.0,3.0,5.0,4.0,2.0,4.0,7,8,23.0,28.0,40.0,22.0,4.0,4.0,7.0,3.0,-0.1,-0.1,-0.2,299.88,14,0.0,143.2,-0.5,-0.07,1,-0.4307829160924542
190,3.85,91-05-24,Winnipeg,MB,CAN,CAN,72,190,2009.0,3.0,85.0,L,Eakin,Cody,C,DAL,60,3,9,7,2,12,-7,1.2,49,1470,60535,1007.7,16.82,16.81,29.0,42.9,5.7,0.896,953.0,1.67,3.16,34.6,-25,-1.49,168.0,168,130.0,82.0,82,82,10.2,34.0,9.0,2.0,11.0,24.8,23.1,186.2,65,65.0,56.0,9.0,48,33,24,39,33.0,24.0,39.0,3.8,524,477,524.0,477.0,52.3,87.9,202,174,168,170,154,133,142,135,212,187,298,280,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,6,40,13,3,3,15,6,2,40,16,13,15.0,12.0,-3,-1.4,12,3,0,0,1,941.0,1016.0,695.0,750.0,493.0,510.0,45.2,51.5,144.0,172.0,28.0,53.0,36.0,45.0,37.0,55.0,73,100,595.0,544.0,291.0,294.0,189.0,121.0,52.0,53.0,-1.2,0.7,-0.5,2467.35,156,7.4,116.5,14.7,0.24,1,1.3480731482996928
191,9.0,84-07-28,Minneapolis,MN,USA,USA,71,196,2003.0,1.0,17.0,L,Parise,Zach,LW,MIN,69,19,23,17,6,42,-3,10.3,30,1541,72156,1197.9,17.43,17.41,29.3,64.6,9.1,0.91,1001.0,3.26,2.7,54.6,11,0.55,300.0,300,250.0,194.0,194,194,25.9,104.0,27.0,20.0,47.0,23.3,21.5,289.8,46,46.0,67.0,-21.0,56,17,33,69,17.0,33.0,69.0,6.0,8,5,8.0,5.0,61.5,1.1,0,0,3,1,5,4,0,1,5,3,5,3,0,6,4,1,0,0,1,1,2,3,3,0,9,0,6,6,44,20,6,10,29,15,2,112,15,17,15.0,16.0,2,1.8,15,0,0,0,0,1275.0,1157.0,953.0,851.0,718.0,603.0,69.5,47.4,244.0,144.0,65.0,54.0,70.0,38.0,68.0,38.0,138,76,583.0,600.0,246.0,341.0,116.0,118.0,51.0,59.0,3.4,0.9,4.3,2897.33,145,5.3,121.8,46.1,0.67,1,2.1972245773362196
192,0.925,97-02-25,Burnsville,MN,USA,USA,73,191,2015.0,1.0,23.0,R,Boeser,Brock,RW,VAN,9,4,1,1,0,5,0,0.8,0,188,8755,145.9,16.22,16.22,29.1,62.5,9.3,0.905,998.0,3.29,2.47,57.1,2,0.82,38.0,38,28.0,25.0,25,25,2.4,8.0,3.0,1.0,4.0,30.4,30.1,19.2,5,5.0,3.0,2.0,3,4,1,0,4.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,1,1,3,3,0,1,16,0,0,0.0,0.0,0,0.2,0,0,0,0,0,144.0,106.0,110.0,84.0,86.0,63.0,6.9,5.8,23.0,21.0,8.0,6.0,5.0,3.0,4.0,14.0,9,17,69.0,87.0,40.0,39.0,23.0,18.0,5.0,3.0,0.6,0.2,0.8,355.66,5,0.0,102.8,6.1,0.68,1,-0.0779615414697118
193,0.7,90-12-04,Vaughan,ON,CAN,CAN,70,193,2009.0,5.0,147.0,L,Varone,Phil,C,OTT,7,0,0,0,0,0,-3,-0.7,2,82,3351,55.9,7.95,7.97,16.9,0.0,0.0,0.917,917.0,0.0,3.22,0.0,-3,-3.22,5.0,5,4.0,1.0,1,1,0.3,1.0,0.0,0.0,0.0,9.0,23.0,0.0,3,3.0,2.0,1.0,3,4,3,1,4.0,3.0,1.0,1.8,15,12,15.0,12.0,55.6,56.3,5,1,4,6,6,5,5,4,8,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1.0,1.0,0,0.1,1,0,0,0,0,41.0,57.0,30.0,44.0,21.0,36.0,2.1,2.8,9.0,9.0,0.0,3.0,1.0,5.0,2.0,0.0,3,5,27.0,21.0,19.0,24.0,10.0,8.0,8.0,5.0,-0.2,-0.1,-0.2,274.84,6,6.0,105.2,-1.2,-0.18,1,-0.35667494393873245
194,0.7425,93-03-26,Helsinki,,FIN,FIN,74,195,,,,L,Hannikainen,Markus,LW,CBJ,10,1,1,0,1,2,0,1.7,6,135,5476,91.2,9.13,9.13,17.3,50.0,9.8,0.875,973.0,2.63,3.29,44.4,-1,-0.66,14.0,14,11.0,8.0,8,8,0.5,2.0,1.0,0.0,1.0,38.3,34.8,0.0,16,16.0,14.0,2.0,3,0,0,5,0.0,0.0,5.0,6.8,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0,0,5,3,1,2.0,1.0,-2,-1.0,3,0,0,0,0,73.0,74.0,61.0,56.0,41.0,40.0,3.3,4.0,13.0,8.0,4.0,5.0,4.0,2.0,1.0,6.0,5,8,23.0,45.0,40.0,40.0,11.0,8.0,3.0,4.0,0.1,0.1,0.2,437.26,27,5.3,96.7,2.6,0.26,1,-0.2977324083052823
195,0.925,94-11-30,Eisenstadt,,AUT,SVK,71,212,2013.0,1.0,27.0,L,Dano,Marko,C/LW/RW,WPG,38,4,7,3,4,11,0,0.2,10,589,24361,405.7,10.68,10.68,20.8,73.3,7.7,0.951,1028.0,2.22,1.18,65.2,7,1.04,77.0,77,66.0,44.0,44,44,6.2,24.0,5.0,8.0,13.0,23.7,23.6,95.2,83,83.0,39.0,44.0,22,10,18,14,10.0,18.0,14.0,4.3,1,3,1.0,3.0,25.0,1.1,1,1,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,19,8,2,4,3,1,1,25,5,9,5.0,7.0,4,3.7,5,0,0,0,0,361.0,326.0,263.0,225.0,194.0,163.0,18.4,12.0,70.0,42.0,15.0,8.0,15.0,9.0,26.0,17.0,41,26,163.0,190.0,254.0,159.0,58.0,43.0,32.0,27.0,0.5,0.4,0.9,1540.91,107,20.2,101.6,10.9,0.29,1,-0.0779615414697118
196,4.25,89-09-01,Halmstad,,SWE,SWE,71,184,2008.0,4.0,121.0,L,Nyquist,Gustav,RW/C/LW,DET,76,12,36,22,14,48,0,4.2,18,1675,79502,1299.3,17.42,17.32,30.3,70.6,9.5,0.911,1006.0,3.14,2.36,57.1,17,0.79,288.0,292,226.0,163.0,165,165,18.9,86.0,10.0,15.0,25.0,27.4,26.5,348.9,54,54.0,71.0,-17.0,63,35,32,20,35.0,32.0,20.0,2.0,4,1,4.0,1.0,80.0,0.4,1,0,2,0,1,1,0,0,2,1,2,1,0,3,2,0,0,0,2,1,1,3,0,0,5,1,2,11,49,18,2,5,35,12,2,91,9,16,8.0,15.0,7,7.5,9,0,0,0,0,1316.0,1011.0,995.0,796.0,714.0,574.0,72.5,47.8,268.0,156.0,68.0,51.0,38.0,21.0,63.0,57.0,101,78,638.0,614.0,336.0,446.0,197.0,126.0,73.0,89.0,2.9,1.7,4.7,2985.52,92,9.6,107.5,46.5,0.62,1,1.4469189829363254
197,0.6675,94-08-08,Prague,,CZE,CZE,71,176,2015.0,5.0,137.0,L,Simon,Dominik,C,PIT,2,0,1,1,0,1,-1,-0.4,0,41,1565,26.1,13.05,13.05,24.6,100.0,12.5,0.867,992.0,2.3,4.6,33.3,-1,-2.3,5.0,5,4.0,2.0,2,2,0.3,1.0,0.0,0.0,0.0,15.5,27.6,21.0,2,2.0,3.0,-1.0,2,1,1,0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,22.0,26.0,17.0,22.0,8.0,15.0,1.5,1.5,5.0,7.0,1.0,2.0,2.0,0.0,1.0,0.0,3,0,10.0,18.0,12.0,7.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,80.07,2,0.0,110.4,0.5,0.23,1,-0.4042158887077325
198,8.0,84-05-01,Minneapolis,MN,USA,USA,75,221,2003.0,2.0,62.0,R,Backes,David,RW/C,BOS,74,17,21,12,9,38,2,10.0,69,1571,76007,1264.1,17.05,17.08,29.9,58.5,8.4,0.897,981.0,3.09,2.52,55.1,12,0.57,286.0,285,241.0,175.0,175,175,17.7,65.0,10.0,14.0,24.0,33.9,30.5,270.3,226,225.0,99.0,126.0,66,35,28,47,35.0,28.0,47.0,4.8,60,63,60.0,63.0,48.8,9.4,20,22,12,19,28,22,15,16,19,30,38,31,0,4,2,2,0,0,0,2,2,5,2,0,6,0,1,5,60,14,3,10,36,16,0,96,26,19,24.0,17.0,-7,-0.1,22,3,0,1,0,1431.0,972.0,1083.0,717.0,776.0,517.0,63.7,40.7,199.0,126.0,65.0,53.0,38.0,21.0,46.0,44.0,84,65,730.0,575.0,473.0,504.0,204.0,153.0,83.0,70.0,2.7,1.7,4.5,2968.55,345,11.5,114.1,52.2,0.71,1,2.0794415416798357
199,0.635,93-02-26,Toronto,ON,CAN,CAN,74,215,,,,L,Goodrow,Barclay,RW/C,S.J,3,0,1,0,1,1,0,-1.1,0,54,2035,33.9,11.3,11.3,21.5,,0.0,1.0,1000.0,0.0,0.0,0.0,0,0.0,6.0,6,4.0,3.0,3,3,0.2,0.0,0.0,0.0,0.0,30.7,23.0,0.0,3,3.0,3.0,0.0,1,1,1,1,1.0,1.0,1.0,2.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0.0,1.0,1,1.0,0,0,0,0,0,19.0,34.0,11.0,23.0,8.0,17.0,0.3,1.5,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0,3,20.0,11.0,7.0,17.0,3.0,4.0,1.0,1.0,0.0,0.0,0.1,123.93,4,0.0,93.8,0.3,0.09,1,-0.4541302800894454
200,3.65,89-10-06,Edmonton,AB,CAN,CAN,69,175,2008.0,1.0,26.0,L,Ennis,Tyler,LW/C/RW,BUF,51,5,8,5,3,13,-10,-3.3,12,809,39278,653.5,12.83,12.83,23.7,56.5,6.2,0.931,993.0,2.11,2.02,51.1,1,0.09,145.0,145,112.0,89.0,89,89,7.7,27.0,6.0,9.0,15.0,29.9,26.8,134.3,45,45.0,45.0,0.0,23,17,19,23,17.0,19.0,23.0,4.0,3,13,3.0,13.0,18.8,2.6,1,1,1,5,1,7,0,4,1,1,3,10,0,3,1,0,0,0,0,0,0,0,1,0,4,0,3,1,19,6,1,10,8,1,3,60,6,2,6.0,2.0,-4,-2.1,6,0,0,0,0,634.0,570.0,478.0,436.0,372.0,318.0,30.1,26.6,102.0,88.0,23.0,22.0,25.0,25.0,30.0,19.0,55,44,286.0,319.0,234.0,211.0,89.0,60.0,29.0,33.0,0.2,0.4,0.6,2106.88,80,10.7,110.5,13.7,0.27,1,1.2947271675944
201,3.75,92-12-07,Phoenix,AZ,USA,CAN,75,211,2011.0,1.0,8.0,L,Couturier,Sean,C,PHI,66,14,20,10,10,34,12,9.8,33,1635,73045,1216.4,18.45,18.44,31.1,60.7,8.5,0.9,985.0,2.76,2.71,50.5,1,0.05,194.0,194,161.0,119.0,120,120,14.6,59.0,16.0,13.0,29.0,26.5,23.0,194.3,41,41.0,114.0,-73.0,42,33,46,35,33.0,46.0,35.0,3.4,587,479,587.0,479.0,55.1,96.7,216,178,201,182,170,119,139,118,187,141,378,320,0,3,2,1,0,0,3,1,0,4,1,0,5,1,2,1,38,15,3,6,27,7,0,62,15,9,14.0,10.0,-6,-1.6,14,1,0,0,0,1195.0,1017.0,892.0,736.0,659.0,551.0,59.2,49.6,210.0,166.0,56.0,55.0,60.0,38.0,47.0,64.0,107,102,606.0,496.0,440.0,536.0,175.0,112.0,74.0,74.0,1.9,2.0,3.9,2697.04,110,6.2,109.1,42.7,0.65,1,1.3217558399823195
202,6.075,82-02-14,Trencin,,SVK,SVK,73,205,2000.0,1.0,3.0,L,Gaborik,Marian,RW,L.A,56,10,11,9,2,21,-4,9.4,18,1072,49693,827.7,14.78,14.78,26.5,60.0,7.3,0.919,992.0,2.54,2.03,55.6,7,0.51,216.0,216,169.0,123.0,123,123,12.5,45.0,8.0,8.0,16.0,27.2,25.0,242.0,21,21.0,35.0,-14.0,46,24,7,15,24.0,7.0,15.0,2.4,0,1,0.0,1.0,0.0,0.1,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,0,0,2,0,0,1,0,0,7,1,3,7,35,11,0,11,21,9,0,71,9,5,9.0,5.0,-4,-3.0,9,0,0,0,0,921.0,634.0,688.0,479.0,480.0,344.0,46.3,29.5,151.0,89.0,35.0,28.0,47.0,27.0,35.0,37.0,82,64,436.0,362.0,342.0,354.0,117.0,48.0,43.0,43.0,1.1,1.1,2.2,2291.81,54,3.1,112.7,32.7,0.58,1,1.8041819892266122
203,0.95,90-02-23,Edmonton,AB,CAN,CAN,74,205,2009.0,3.0,83.0,L,Connauton,Kevin,D,ARI,24,0,1,1,0,1,-1,-3.9,24,443,18910,315.2,13.13,13.13,24.4,10.0,7.5,0.924,999.0,1.9,2.67,41.7,-4,-0.76,51.0,51,35.0,21.0,21,21,0.7,0.0,1.0,2.0,3.0,51.9,47.7,25.5,48,48.0,24.0,24.0,14,5,4,22,5.0,4.0,22.0,6.2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,5,1,1,0,14,8,2,7.0,2.0,-6,-3.5,7,0,0,1,0,263.0,354.0,196.0,264.0,134.0,185.0,10.8,16.8,35.0,62.0,10.0,14.0,10.0,13.0,10.0,15.0,20,28,133.0,152.0,152.0,126.0,33.0,30.0,21.0,20.0,-0.3,0.6,0.4,978.23,94,7.4,117.5,0.0,0.0,0,-0.05129329438755058
